tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
452,0,50,16,14,341,322,37,43,30,13452,14587,28,22,0,11,289,688,714,662,697,3548,3521
453,0,50,16,14,341,322,37,43,30,11292,15717,28,22,0,11,289,690,713,659,697,3557,3534
454,0,50,16,14,341,322,37,43,30,9834,16911,27,23,0,11,289,692,711,664,693,3566,3548
455,0,50,16,14,341,322,37,43,28,12145,15801,28,22,0,11,289,698,709,664,692,3582,3554
456,0,50,16,14,341,322,37,43,28,15318,14721,29,21,0,11,289,701,704,670,689,3594,3563
457,0,50,16,14,341,322,37,43,27,17430,14353,28,22,0,11,289,669,710,658,693,3604,3575
458,0,50,16,14,341,322,37,43,27,20318,13569,27,23,0,11,289,671,710,663,690,3614,3588
459,0,50,16,14,341,322,37,42,25,19857,12589,27,23,0,11,289,678,709,663,691,3626,3599
460,0,50,16,14,341,322,37,42,25,19334,12733,27,23,0,11,289,679,708,669,690,3637,3611
461,0,50,16,14,337,321,38,42,25,21368,12181,26,24,0,11,289,685,705,674,686,3648,3624
462,0,50,16,13,337,323,38,42,25,22277,11414,26,24,0,11,289,677,703,665,687,3659,3637
463,0,50,16,13,337,323,38,42,26,23729,11975,27,23,0,11,289,681,702,668,688,3670,3649
464,0,50,16,13,337,323,38,42,26,24203,11424,27,23,0,11,289,686,701,673,686,3676,3666
465,0,50,16,13,337,323,38,42,26,23582,11133,28,22,0,11,289,681,699,681,685,3686,3678
466,0,50,16,13,337,323,38,42,26,23338,11327,26,24,0,10,290,687,696,685,681,3698,3690
467,0,50,15,13,331,323,40,42,27,26897,11631,26,24,0,10,290,664,698,671,680,3713,3699
468,0,50,15,13,331,323,40,42,27,26909,11472,27,23,0,10,290,668,697,677,676,3729,3706
469,0,50,15,13,331,323,40,42,27,24517,11292,28,22,0,10,290,674,694,681,675,3741,3716
470,0,50,15,13,331,323,40,42,27,26876,10445,29,21,0,9,291,673,694,687,672,3751,3727
471,0,50,15,13,331,323,40,42,27,28379,10526,26,24,0,7,293,674,691,693,670,3762,3740
472,0,50,15,13,331,323,40,41,27,26908,10046,28,22,0,7,293,654,690,682,673,3775,3749
473,0,50,15,13,331,323,40,41,27,27704,10009,28,22,0,7,293,658,688,685,669,3784,3762
474,0,50,15,13,331,323,40,41,27,27869,9736,25,25,0,6,294,660,687,687,668,3797,3774
475,0,50,15,13,331,323,40,41,28,29823,9845,24,26,0,6,294,663,684,690,664,3807,3790
476,0,50,15,13,331,323,40,41,28,28935,9500,25,25,0,6,294,667,682,691,662,3817,3805
477,0,50,15,13,331,323,40,41,29,28779,8848,25,25,0,6,294,634,690,687,661,3830,3817
