tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
96,23,27,207,220,186,156,0,1,29,24246,8847,50,0,300,0,0,0,0,0,0,0,0
97,23,27,207,220,186,156,0,1,30,20246,10434,50,0,300,0,0,0,0,0,0,0,0
98,23,27,206,220,188,156,0,1,30,17138,11879,50,0,300,0,0,0,0,0,0,0,0
99,23,27,205,220,190,156,0,1,30,14158,12963,50,0,300,0,0,0,0,0,0,0,0
100,23,27,204,219,192,158,0,1,30,11720,13893,50,0,300,0,0,0,0,0,0,0,0
101,21,29,204,217,192,158,0,2,28,16044,12410,50,0,300,0,0,0,0,0,0,0,0
102,21,29,202,217,196,158,0,2,28,17527,11747,50,0,300,0,0,0,0,0,0,0,0
103,21,29,201,217,198,158,0,2,29,21174,10871,50,0,300,0,0,0,0,0,0,0,0
104,21,29,201,215,198,162,0,2,29,23030,10439,50,0,300,0,0,0,0,0,0,0,0
105,21,29,199,215,202,162,0,2,29,26800,9539,50,0,300,0,0,0,0,0,0,0,0
106,21,29,199,214,202,164,0,2,29,27104,9563,50,0,300,0,0,0,0,0,0,0,0
107,21,29,196,213,208,166,0,2,30,27950,9758,50,0,300,0,0,0,0,0,0,0,0
